Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.immunization.json	61605	-	0	0	0	0	0	0	9	60	0	0	0	0	0	0	0	1	0	0	316	351	0	0	0	0	20	0	2
fsh-generated/resources/ActivityDefinition-IMMZD2DTCR.json	1014	6	1	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	20	14	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTDTPMR.json	1219	5	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTHepatitisBMR.json	1227	4	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	21	12	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	1202	4	0	0	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMumpsMR.json	1191	4	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	22	12	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPertussisMR.json	1212	5	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPolioIPVMR.json	1238	4	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	21	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPoliobOPVMR.json	1236	4	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	34	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTRubellaMR.json	1201	4	1	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	34	11	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTTetanusDiphtheraMR.json	1255	5	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	24	61	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTYellowFeverMR.json	1222	4	0	0	0	0	0	0	1	62	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD5DTDTPMR.json	1227	4	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD5DTMeaslesMR.json	1210	4	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	25	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD5DTMumpsMR.json	1199	4	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD5DTPoliobOPVMR.json	1244	5	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD5DTRubellaMR.json	1209	4	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	27	12	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD5DTYellowFeverMR.json	1230	4	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3270	4	0	0	1	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	29	13864	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D.json	22788	6	1	0	0	0	0	0	1	29	0	0	0	0	0	0	0	1	0	0	127	384	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-IMMZ.D1.json	11653	5	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	77	289	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZ.C.ConceptMap.json	10551	5	0	0	0	0	0	0	2	2284	0	0	0	0	0	0	0	0	0	0	85	50	0	0	0	0	2	0	0
