Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.immunizations.json	224543	-	0	0	1	0	0	0	27	131	0	0	0	0	0	0	0	5	0	0	628	1195	0	0	0	0	30	0	23
fsh-generated/resources/ActivityDefinition-IMMZD2DTBCGMR.json	1196	8	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	29	22	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTCR.json	997	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	25	19	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTCholeraMR.json	1220	6	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTDTPMR.json	1208	6	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTDTPPMR.json	1233	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTDTPTdMR.json	1235	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTDengueMR.json	1215	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	25	19	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTHPVMR.json	1196	5	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	17	21	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTHepatitisAMR.json	1251	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	26	19	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTHepatitisBMR.json	1247	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	27	20	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTHibMR.json	1207	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	14	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTJEMR.json	1190	5	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	29	12	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMalariaMR.json	1221	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	1231	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeningococcalMR.json	1257	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	14	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMumpsMR.json	1220	6	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	26	19	0	0	0	0	0	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTPneumococcalMR.json	1251	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	20	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPolioIPVMR.json	1240	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	27	19	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPolioMR.json	1225	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	26	18	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPolioOPVMR.json	1233	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	19	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTRabiesMR.json	1215	6	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	34	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTRotavirusMR.json	1233	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTRubellaMR.json	1232	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTSeasonalinfluenzaMR.json	1283	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTTBEMR.json	1197	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0	0
