Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.immunization.json	49773	-	0	0	0	0	0	0	11	82	0	0	0	0	0	0	0	1	0	0	276	386	0	0	0	0	12	0	2
fsh-generated/resources/ActivityDefinition-IMMZD2DTCR.json	1014	7	1	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTHepatitisBMR.json	1227	16	0	0	0	0	0	0	1	47	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	1202	6	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPolioIPVMR.json	1238	5	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	21	15	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPoliobOPVMR.json	1236	5	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTYellowFeverMR.json	1222	5	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	1	0	0	17	9	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD5DTMeaslesMR.json	1210	7	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD5DTPoliobOPVMR.json	1244	5	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD5DTYellowFeverMR.json	1230	7	1	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	25	9	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ.C.json	3270	5	0	0	0	0	0	0	1	15	0	0	1	0	0	0	0	0	0	0	28	13316	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ.D.json	22788	8	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	0	129	318	0	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-IMMZ.D1.json	11653	6	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	81	218	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZ.C.ConceptMap.json	10551	6	0	0	0	0	0	0	1	918	0	0	0	0	0	0	0	0	0	0	77	46	0	0	1	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZ.C.SexToAdministrativeGender.json	2282	5	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	62	24	0	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-IMMZ.D.ConceptMap.json	56612	9	0	0	0	0	0	0	7	2279	0	0	0	0	0	0	0	1	0	0	382	103	0	0	0	0	7	0	1
fsh-generated/resources/ConceptMap-IMMZ.D1.ConceptMap.json	19260	6	0	0	0	0	0	0	3	583	0	0	0	0	0	0	0	1	0	0	164	48	0	0	0	0	2	0	1
fsh-generated/resources/Measure-IMMZIND07MeaslesHighTx.json	3743	6	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	31	17	0	0	0	0	1	0	0
fsh-generated/resources/Measure-IMMZIND07MeaslesLowTx.json	3737	5	1	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	28	11	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND08Measles.json	3660	5	0	0	0	0	0	0	1	140	0	0	0	0	0	0	0	0	0	0	38	11	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND26YellowFever.json	3684	6	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	36	11	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND40Measles.json	3655	5	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	41	10	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P123456.json	287	5	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P654321.json	287	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD18SMeaslesDose0HighTx.json	3077	5	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	41	11	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD18SMeaslesDose0LowTx.json	3071	5	0	0	0	0	0	0	1	171	0	0	0	0	0	0	0	0	0	0	40	10	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD18SMeaslesHighTx.json	5115	5	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	47	11	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD18SMeaslesLowTx.json	4996	5	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	38	10	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD18SMeaslesSupp.json	3052	5	0	0	0	0	0	0	1	99	0	0	0	0	0	0	0	0	0	0	27	10	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD18SYellowFever.json	2949	5	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	27	11	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTHepatitisB3Delayed.json	4948	6	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	38	11	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTHepatitisB3OnTime.json	3952	5	1	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	31	11	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTHepatitisB4OnTime.json	3952	5	0	0	0	0	0	0	1	119	0	0	0	0	0	0	0	0	0	0	32	10	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTHepatitisBBirth.json	3944	6	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	32	9	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesDose0.json	2989	5	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	27	10	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesHighTx.json	5155	5	0	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	37	10	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesLowTx.json	4926	5	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	1	0	0	37	13	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesSupp.json	3003	5	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	27	16	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTPolioBirth.json	4575	5	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	35	16	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTPolioIPVOnly.json	4367	5	0	0	0	0	0	0	1	122	0	0	0	0	0	0	0	0	0	0	34	16	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTPolioSequential.json	5892	5	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	42	17	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTPoliobOPVIPV.json	7222	5	1	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	49	17	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTYellowFever.json	3927	5	0	0	0	0	0	0	1	120	0	0	0	0	0	0	0	0	0	0	32	15	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD5DTHepatitisB.json	2865	5	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	26	15	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD5DTMeasles.json	3797	6	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	31	16	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZD5DTPolio.json	3811	5	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	31	15	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD5DTYellowFever.json	3888	5	0	0	0	0	0	0	1	116	0	0	0	0	0	0	0	0	0	0	31	14	0	0	0	0	0	0	1
fsh-generated/resources/PlanDefinition-IMMZDTUmbrella.json	3083	5	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	28	10	0	0	0	0	0	0	0
