Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.immunizations.json	223162	-	0	0	1	0	0	0	43	199	0	0	0	0	0	0	0	3	0	0	539	1212	0	0	0	0	28	0	4
fsh-generated/resources/ActivityDefinition-IMMZD2DTBCGMR.json	1196	9	0	0	0	0	0	0	1	60	0	0	0	0	0	0	0	0	0	0	25	39	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTCR.json	997	7	0	0	1	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	23	35	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTCholeraMR.json	1220	6	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	23	49	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTDTPMR.json	1208	7	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	26	33	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTDTPPMR.json	1233	6	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	23	31	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTDTPTdMR.json	1235	7	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	23	32	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTDengueMR.json	1215	6	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	23	37	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTHPVMR.json	1196	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	28	41	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTHepatitisAMR.json	1251	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	23	31	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTHepatitisBMR.json	1247	7	0	0	1	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	26	31	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTHibMR.json	1207	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	27	32	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTJEMR.json	1190	7	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	36	33	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMalariaMR.json	1221	6	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	29	44	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	1231	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	24	32	0	0	0	0	0	0	1
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeningococcalMR.json	1257	6	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	24	21	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMumpsMR.json	1220	6	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	22	33	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPneumococcalMR.json	1251	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	25	32	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPolioIPVMR.json	1240	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	22	27	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPolioMR.json	1225	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	24	19	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTPolioOPVMR.json	1233	7	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	30	19	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTRabiesMR.json	1215	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	38	32	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTRotavirusMR.json	1233	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	24	16	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTRubellaMR.json	1232	6	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	21	17	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTSeasonalinfluenzaMR.json	1283	6	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	22	17	0	0	0	0	0	0	0
