URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender,ConceptMap/IMMZ.C.ConceptMap"
http://hl7.org/fhir/adverse-event-actuality,4.0.1,draft,"2.16.840.1.113883.4.642.4.832",AdverseEventActuality,AdverseEventActuality,"Overall nature of the adverse event, e.g. real or potential.","ValueSet/adverse-event-actuality"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/immunization-status,ConceptMap/IMMZ.D.ConceptMap"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://id.who.int/icd/release/11/mms,1.0.0,active,,ICD11MMS,International Classification of Diseases, 11th Revision Mortality and Morbidity Statistics (MMS),"The International Classification of Diseases, 11th Revision Mortality and Morbidity Statistics (MMS) is one of the ICD11 linearizations. Information about the ICD Foundation Component and the ICD11 Linearizations can be found in the complete reference guide here: [https://icd.who.int/icd11refguide/en/index.html](https://icd.who.int/icd11refguide/en/index.html)    ""**The ICD11 Linearizations (Tabular lists)**    A linearization is a subset of the foundation component, that is:    1. fit for a particular purpose: reporting mortality, morbidity, primary care or other uses;     2. composed of entities that are Mutually Exclusive of each other;     3. each entity is given a single parent.    Linearization is similar to the classical print versions of ICD Tabular List (e.g. volume I of ICD-10 or other previous editions). The main linearization of ICD-11 is Mortality and Morbidity Statistics (MMS). Various linearizations could be built at different granularity, use case or other purposes such as for Primary Care, Clinical Care or Research. The linkage from the foundation component to a particular linearization will ensure consistent use of the ICD.""    ICD-11 for Mortality and Morbidity (ICD-11 MMS) can be downloaded in either print or electronic (spreadsheet) format from the  browser in the Info tab located [here](https://icd.who.int/browse11/l-m/en)","ValueSet/IMMZ.Z.DE19,ValueSet/IMMZ.Z.LiveAttenuated,ValueSet/IMMZ.Z.DE18,ValueSet/IMMZ.Z.DE17,ValueSet/IMMZ.Z.DE16,ValueSet/IMMZ.Z.DE15,ValueSet/IMMZ.Z.DE14,ValueSet/IMMZ.Z.DE5,ValueSet/IMMZ.Z.DE13,ValueSet/IMMZ.Z.DE4,ValueSet/IMMZ.Z.DE7,ValueSet/IMMZ.Z.DE34,ValueSet/IMMZ.Z.DE12,ValueSet/IMMZ.Z.DE33,ValueSet/IMMZ.Z.DE6,ValueSet/IMMZ.Z.DE11,ValueSet/IMMZ.Z.DE9,ValueSet/IMMZ.Z.DE10,ValueSet/IMMZ.Z.DE32,ValueSet/IMMZ.Z.DE8,ValueSet/IMMZ.Z.DE31,ValueSet/IMMZ.Z.DE30,ValueSet/IMMZ.Z.DE1,ValueSet/IMMZ.Z.DE3,ValueSet/IMMZ.Z.DE2,ConceptMap/IMMZ.Z.ConceptMap,ConceptMap/IMMZ.C.ConceptMap,ValueSet/IMMZ.Z.DE29,ValueSet/IMMZ.Z.DE28,ValueSet/IMMZ.Z.DE26,ValueSet/IMMZ.Z.DE25,ValueSet/IMMZ.Z.DE24,ValueSet/IMMZ.Z.DE23,ValueSet/IMMZ.Z.DE22,ValueSet/IMMZ.Z.DE21,ValueSet/IMMZ.Z.DE20,ConceptMap/IMMZ.D.ConceptMap"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/IMMZ.Z.DE17,ValueSet/IMMZ.Z.DE3,ConceptMap/IMMZ.Z.ConceptMap,ValueSet/observation-codes,ValueSet/IMMZ.Z.DE4,ValueSet/IMMZ.Z.DE11,ValueSet/IMMZ.Z.DE6,ValueSet/IMMZ.Z.DE9,ConceptMap/IMMZ.C.ConceptMap,ValueSet/IMMZ.Z.DE32,ConceptMap/IMMZ.D.ConceptMap"
http://smart.who.int/immunizations/CodeSystem/IMMZ.C,0.2.0,active,,IMMZ_C,IMMZ.C CodeSystem for Data Elements,"CodeSystem for IMMZ.C Data Elements","ConceptMap/IMMZ.C.ConceptMap,ValueSet/IMMZ.C.DE5"
http://smart.who.int/immunizations/CodeSystem/IMMZ.D,0.2.0,active,,IMMZ_D,IMMZ.D CodeSystem for Data Elements,"CodeSystem for IMMZ.D Data Elements","ValueSet/IMMZ.D.DE161,ValueSet/IMMZ.D.DE95,ValueSet/IMMZ.D.DE254,ValueSet/IMMZ.D.DE232,ValueSet/IMMZ.D.DE243,ValueSet/IMMZ.D.DE1,ValueSet/IMMZ.D.DE220,ValueSet/IMMZ.D.DE241,ValueSet/IMMZ.D.DE126,ValueSet/IMMZ.D.DE225,ValueSet/IMMZ.D.DE258,ValueSet/IMMZ.D.DE5,ValueSet/IMMZ.D.DE115,ValueSet/IMMZ.D.Observation,ValueSet/IMMZ.D.DE246,ValueSet/IMMZ.D.DE212,ValueSet/IMMZ.D.DE156,ValueSet/IMMZ.D.DE229,ValueSet/IMMZ.D.DE107,ValueSet/IMMZ.D.DE86,ValueSet/IMMZ.D.DE216,ValueSet/IMMZ.D.DE204,ValueSet/IMMZ.D.DE237,ConceptMap/IMMZ.D.ConceptMap"
http://smart.who.int/immunizations/CodeSystem/IMMZ.Ex,0.2.0,active,,IMMZ_C,IMMZ.Ex CodeSystem for Example values for required data elements,"CodeSystem for IMMZ.Ex Examples","ValueSet/IMMZ.D.DE18,ValueSet/IMMZ.D.DE25,ValueSet/IMMZ.D.DE23"
http://smart.who.int/immunizations/CodeSystem/IMMZ.I,0.2.0,active,,IMMZ_I,IMMZ.I CodeSystem for Data Elements,"CodeSystem for IMMZ.I Data Elements","ValueSet/IMMZ.I.DE48,ValueSet/IMMZ.I.DE30"
